Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,price
2021,Automatique,Diesel,50 000 - 54 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2022,Automatique,Diesel,50 000 - 54 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,500 000 DH
2023,Automatique,Diesel,90 000 - 94 999,Audi,Q5,,Dédouanée,,8 CV,Excellent,
2019,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2020,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Très bon,
2020,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2021,Automatique,Diesel,15 000 - 19 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,430 000 DH
2012,Automatique,Diesel,250 000 - 299 999,Audi,Q5,,,,8 CV,,175 000 DH
2020,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,,WW au Maroc,,8 CV,Bon,
2016,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Bon,UpwardArrow IconPrix en hausse240 000 DH
2022,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2021,Automatique,Diesel,65 000 - 69 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2013,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,WW au Maroc,,8 CV,Excellent,175 000 DH
2017,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,Dédouanée,,8 CV,Très bon,420 000 DH
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Non,7 CV,Excellent,340 000 DH
2018,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2020,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2025,Automatique,Diesel,0 - 4 999,Audi,Q8,5,Importée neuve,Oui,11 CV,Neuf,
2024,Automatique,Essence,10 000 - 14 999,Porsche,Macan,5,Importée neuve,,12 CV,Neuf,
2021,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Neuf,450 000 DH
2014,Automatique,Diesel,200 000 - 249 999,Audi,Q5,,WW au Maroc,,8 CV,Très bon,
2016,Automatique,Diesel,140 000 - 149 999,Audi,Q5,3,WW au Maroc,Oui,8 CV,Très bon,
2011,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,11 CV,Excellent,125 000 DH
2017,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2017,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2016,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2019,Automatique,Diesel,80 000 - 84 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Bon,420 000 DH
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2018,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2018,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2024,Automatique,Diesel,0 - 4 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2017,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2018,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Neuf,
2021,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,Pas encore dédouanée,Oui,10 CV,Excellent,460 000 DH
2023,Automatique,Diesel,75 000 - 79 999,Audi,Q5,3,Dédouanée,Oui,8 CV,Excellent,
2021,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2022,Automatique,Diesel,20 000 - 24 999,Audi,Q5,,Dédouanée,Oui,Plus de 41 CV,Excellent,
2021,Automatique,Diesel,70 000 - 74 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Excellent,
2019,Automatique,Diesel,50 000 - 54 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2021,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,Dédouanée,,8 CV,Excellent,
2019,Automatique,Diesel,120 000 - 129 999,Land Rover,Discovery Sport,5,WW au Maroc,Oui,8 CV,Excellent,
2020,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2020,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,420 000 DH
2020,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,420 000 DH
2019,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,340 000 DH
2020,Automatique,Diesel,90 000 - 94 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Neuf,
2021,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Automatique,Diesel,170 000 - 179 999,BMW,Série 4,3,WW au Maroc,Non,8 CV,Très bon,220 000 DH
2017,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Dédouanée,Non,9 CV,Très bon,380 000 DH
2019,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,
2021,Automatique,Hybride,85 000 - 89 999,Mercedes-Benz,Classe C,5,Dédouanée,Oui,8 CV,Excellent,465 000 DH
2020,Automatique,Diesel,85 000 - 89 999,Mercedes-Benz,Classe A,5,Dédouanée,Oui,9 CV,Excellent,405 000 DH
2021,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Très bon,
2023,Automatique,Diesel,60 000 - 64 999,Audi,Q5,5,Dédouanée,,8 CV,Excellent,
2020,Automatique,Diesel,30 000 - 34 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2021,Automatique,Diesel,40 000 - 44 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2018,Automatique,Diesel,50 000 - 54 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,455 000 DH
2022,Automatique,Diesel,15 000 - 19 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2014,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,180 000 DH
2015,Automatique,Diesel,250 000 - 299 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2021,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2022,Automatique,Diesel,15 000 - 19 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2023,Automatique,Diesel,60 000 - 64 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2023,Automatique,Diesel,80 000 - 84 999,Audi,Q5,5,Dédouanée,Oui,9 CV,Excellent,
2019,Automatique,Diesel,90 000 - 94 999,Audi,Q5,5,WW au Maroc,Non,8 CV,,365 000 DH
2023,Automatique,Diesel,70 000 - 74 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2021,Automatique,Diesel,75 000 - 79 999,Audi,Q5,,WW au Maroc,Non,8 CV,Excellent,480 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2020,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2015,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2018,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,305 000 DH
2012,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Excellent,
2015,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,252 000 DH
2011,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,WW au Maroc,Non,12 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2020,Automatique,Diesel,50 000 - 54 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2013,Manuelle,Diesel,250 000 - 299 999,Audi,Q5,,,,8 CV,,175 000 DH
2020,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Neuf,
2017,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,DownwardArrow IconPrix à la baisse305 000 DH
2018,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,340 000 DH
2015,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,205 000 DH
